1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2
0.8,0.9,0.7083333333333334,0.9,1.0,0.8055555555555555,1.0,0.95,0.7638888888888888,1.0,0.85,0.7777777777777778,1.0,0.85,0.8055555555555557
0.8,0.95,0.7777777777777778,1.0,1.0,0.9166666666666666,0.9,1.0,0.9722222222222222,1.0,0.95,0.9166666666666666,0.8,0.95,0.7916666666666666
1.0,0.95,0.8888888888888888,0.9,1.0,0.9583333333333331,1.0,1.0,1.0,0.9,0.95,0.9583333333333334,0.8,1.0,0.8611111111111112
1.0,1.0,0.9027777777777778,1.0,1.0,0.9305555555555555,1.0,1.0,0.9722222222222222,1.0,1.0,0.9722222222222222,1.0,0.95,0.9166666666666665
1.0,0.95,0.8888888888888888,0.9,1.0,0.9722222222222223,1.0,1.0,0.9027777777777777,1.0,0.95,0.9166666666666666,1.0,0.85,0.8472222222222222
0.8,0.95,0.861111111111111,0.9,1.0,0.9444444444444446,0.9,1.0,0.9722222222222223,1.0,0.85,0.9444444444444445,0.8,0.85,0.8333333333333331
1.0,0.95,0.8055555555555557,1.0,1.0,0.8611111111111112,0.9,1.0,0.8472222222222222,1.0,1.0,0.9305555555555557,1.0,0.85,0.875
1.0,1.0,0.8472222222222222,0.85,1.0,0.9305555555555557,0.95,1.0,0.9583333333333334,1.0,0.95,0.888888888888889,0.8,1.0,0.8611111111111112
0.9,0.95,0.8333333333333334,0.9,1.0,0.9583333333333334,1.0,1.0,0.9027777777777778,0.8,1.0,0.8194444444444445,0.9,0.95,0.861111111111111
