Subjects,1 F0 B,2 F0 B,1 F1 B,2 F1 B,1 F2 B,2 F2 B
1,0.9400000000000001,0.9400000000000001,0.9099999999999999,0.9777777777777779,0.7722222222222221,1.0
2,0.9,1.0,0.9700000000000001,0.9805555555555556,0.8750000000000001,0.9800000000000001
3,0.9199999999999999,0.9199999999999999,0.9800000000000001,0.9916666666666667,0.9333333333333332,0.9800000000000001
4,1.0,0.9400000000000001,0.99,0.9750000000000001,0.9388888888888888,0.96
5,0.9800000000000001,1.0,0.95,0.9833333333333333,0.9055555555555557,0.96
6,0.8800000000000001,1.0,0.93,0.9833333333333333,0.9111111111111111,1.0
7,0.9800000000000001,0.9,0.96,0.9861111111111112,0.8638888888888889,0.96
8,0.9199999999999999,1.0,0.99,0.9916666666666667,0.8972222222222223,0.9800000000000001
9,0.9,0.9600000000000002,0.9800000000000001,0.9805555555555556,0.875,0.99
